什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
罹患類鼻疽的嚴重性？,此疾病在人類中並不常見，即使在地方性流行地區經常接觸到水或土壤的民眾也很少見
類鼻疽傳染途徑為何？,這個問題非常好！主要的傳染途徑是由於皮膚傷口接觸到受病原菌污染的土壤或水而引起感染，但也可能經由吸入、食入受污染的土壤或水，或吸入受污染的塵土而受感染，一般情形下，並不會由人直接傳染給人
類鼻疽潛伏期和可傳染期,從可能的暴露經驗推算至出現臨床症狀之時間，可短至2 天，或長達數月或數年（第9天，為發病高峰期）
類鼻疽的國內流行期,見衛生福利部疾病管制署「傳染病統計資料查詢系統」
類鼻疽流行地區有哪些,在以下國家中曾有病例報告，但可能並不只局限發生於這些國家，如東南亞之泰國、馬來西亞、印尼、越南、新加坡、菲律賓、伊朗、土耳其，澳洲東北部，巴布亞新幾內亞，關島，厄瓜多爾，象牙海岸，巴拿馬，斯里蘭卡，馬達加斯加島，巴西，墨西哥，海地，薩爾瓦多，波多黎各等地
如何預防類鼻疽,1. 身體虛弱抵抗力差的人，包括糖尿病及外傷者，應避免赤足於污泥土或污水中
接種類鼻疽疫苗需要額外付費嗎？,類鼻疽目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染類鼻疽了怎麼辦？,類鼻疽為嚴重致死性感染症，若有疑似症狀應儘早就醫，才能早期診斷、早期治療
罹患類鼻疽要注意什麼？,類鼻疽菌本身對多種抗生素都有抗藥性，即使在實驗室細菌培養有效的抗生素使用在臨床上也不一定有效
疑似罹患類鼻疽要去哪裡就醫？,請儘速附近醫療院所就診
什麼是中華肝吸蟲感染症？,中華肝吸蟲感染是中華肝吸蟲成蟲寄生於人體的肝膽管內所引發的疾病
中華肝吸蟲感染症會有什麼症狀？,大多數人如感染少量蟲數（少於100隻），症狀不明顯或輕微，例如：腹部不適、下痢等，部分病人可能產生周邊血液嗜伊紅血球增多合併間歇性黃疸
罹患中華肝吸蟲感染症的嚴重性？,因為這種寄生蟲可能在人體存活很多年（20-25年），肝臟可能因長期慢性感染導致膽管上皮增生、纖維化、膽結石或細胞病變等
中華肝吸蟲感染症有什麼危險徵兆,有很多研究顯示中華肝吸蟲感染症與膽管癌有關
中華肝吸蟲感染症傳染途徑為何？,這個問題非常好！食入生的、未煮熟或保存不當的乾燥、煙燻或塩漬含有中華肝吸蟲幼蟲的淡水魚
中華肝吸蟲感染症潛伏期和可傳染期,潛伏期10天~2年，平均21天~28天
中華肝吸蟲感染症流行地區有哪些,亞洲國家或地區，像是中國大陸、香港、馬來西亞、新加坡、韓國、越南(尤其北越紅河三角洲包括河內和海防市)、東亞國家
如何預防中華肝吸蟲感染症,不要吃生的或未煮熟的、煙燻的、塩漬的、乾的淡水魚類和蝦類；處理淡水魚、蝦時洗淨雙手，厨具及餐具亦須洗淨並用高溫熱水燙過
除了接種或投藥外的中華肝吸蟲感染症預防方法,不要吃生的或未煮熟的、煙燻的、塩漬的、乾的淡水魚類和蝦類；處理淡水魚、蝦時洗淨雙手，厨具及餐具亦須洗淨並用高溫熱水燙過
接種中華肝吸蟲感染症疫苗需要額外付費嗎？,中華肝吸蟲感染症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染中華肝吸蟲感染症了怎麼辦？,請儘速附近醫療院所就診
疑似罹患中華肝吸蟲感染症要去哪裡就醫？,請儘速附近醫療院所就診
中華肝吸蟲感染症要怎麼治療？,最常使用的治療藥物是Praziquantel，依病情嚴重程度使用1~2天，治癒率達98%~100%
什麼是立百病毒感染症？,立百病毒 (NipahVirus， NiV) 過去稱equine morbillivirus，為副黏液病毒（Paramyxoviridae）科，Henipavirus屬
立百病毒感染症會有什麼症狀？,立百病毒感染症初期的症狀與流感類似，有些無症狀，有些呈現輕微或嚴重急性呼吸道症狀。嚴重個案可導致腦炎及抽搐，並於24─48小時進展至昏迷。康復後，可能有後遺症，如抽搐或人格改變
立百病毒感染症傳染途徑為何？,"1.立百病毒可藉由蝙蝠及豬隻傳染給人類，人類大多數是直接接觸生病豬隻或經由呼吸道飛沫、接觸生病動物之口鼻分泌物或其組織所感染
 2.食用到受感染果蝠尿液或唾液污染的水果或椰棗、樹汁等，也可能導致感染
 3.有限的人與人之間的傳播。孟加拉與印度疫情均發現，立百病毒可經由接觸患者分泌物及排泄物等引起人傳人的案例"
立百病毒感染症的國內流行期,台灣目前無該疾病之通報個案
立百病毒感染症流行地區有哪些,立百病毒曾於1999年在馬來西亞及新加坡造成疫情，且2001年起在孟加拉陸續有疫情通報，但該病毒與1999年造成馬來西亞疫情的病毒為不同株，此外，印度也陸續出現疫情
如何預防立百病毒感染症,"1.避免接觸果蝠或流行地區豬隻，及其他有可能感染的動物
 2.養成良好的衛生習慣，如勤洗手（尤其是接觸動物後）及食用清洗乾淨之水果 3.避免食用流行地區可能受感染果蝠尿液或唾液污染的水果或椰棗、樹汁等 4.接觸動物時應採取適當防護措施，如戴手套、口罩及工作服等，尤其是處理生病的動物或其組織時；接觸後使用肥皂洗手或其他暴露部位 5.落實執行院內感染管制措施，避免接觸到立百病毒感染者的血、體液（如：唾液、腦脊髓液等）或排泄物等，照顧或探望病人後應以肥皂或70%~75%酒精洗手液清潔消毒手部"
接種立百病毒感染症疫苗需要額外付費嗎？,立百病毒感染症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染立百病毒感染症了怎麼辦？,請儘速附近醫療院所就診。接觸者若未採取防護措施，建議自主健康管理至最後接觸日後14天。 
疑似罹患立百病毒感染症要去哪裡就醫？,請儘速附近醫療院所就診
立百病毒感染症要怎麼治療？,1.治療方法：採支持性療法為主。研究顯示Ribavirin對立百病毒感染有效，但尚未經人體試驗 2.立百病毒感染症雖非現行法定傳染病，但發現病人出現疑似症狀且有流行地區旅遊史、動物接觸史等，仍需及早向衛生主管機關報告，以利疫情控制 3.隔離：安排病人入住單人病室；由於國外曾引發人傳人院內感染疫情，照顧病人時應採取標準防護措施、接觸傳染及飛沫傳染防護措施，穿戴手套、口罩或隔離衣等個人防護裝備 4.消毒：撲殺感染豬或感染動物的屍體，須在動物防疫主管機關的監督下掩埋或火化 5.檢疫：禁止農場中感染的豬或動物移動到其他區域 6.接觸者處理：接觸者若未採取防護措施，建議自主健康管理至最後接觸日後14天 7.接觸者及感染源調查：查明個案之相關動物（豬、果蝠等）接觸史及其可能污染物，並找尋可能的病例
什麼是沙門氏菌感染症？,沙門氏菌感染症是由沙門氏菌感染所造成的急性傳染病
沙門氏菌感染症會有什麼症狀？,好問題！一般臨床症狀以急性腸胃炎表現，在感染後約6-48小時會有噁心、嘔吐及下痢等，伴隨發燒及腹部絞痛等症狀，通常發燒72小時內會好轉
罹患沙門氏菌感染症的嚴重性？,嬰兒、老年人或免疫功能低下者症狀通常較嚴重，易因菌血症引發其他嚴重併發症
沙門氏菌感染症有什麼併發症,嚴重患者可能因菌血症引發其他嚴重併發症
沙門氏菌感染症有哪些高風險族群,任何人都可能感染，沙門氏菌感染症可發生在各個年齡層和背景的人，病例最常發生於嬰兒和五歲以下小孩
沙門氏菌感染症傳染途徑為何？,這個問題非常好！食入被動物或人類糞便污染的水或食物，受污染的食物如生的或未煮熟的雞蛋/雞蛋製品、牛奶/牛奶製品、肉類/肉類製品等，若食物保存不當，沙門氏菌易在高溫下大量繁殖，更易傳播
沙門氏菌感染症潛伏期和可傳染期,潛伏期6-72小時，通常是12-36小時
沙門氏菌感染症的國內流行期,本病較易發生在7月~10月，氣候溫暖的季節
沙門氏菌感染症流行地區有哪些,沙門氏菌感染症屬全球分布
如何預防沙門氏菌感染症,"1.烹調食物前或餐前便後應確實洗手，小心處理食物
 2.食物應以保鮮膜包裹後置入冰箱，再次食用前應加熱煮熟
 3.沙拉及冷盤之保存應特別謹慎
 4.牛奶和奶製品應滅菌後再食用 5.被蒼蠅沾染、過期或腐敗等不潔食物，均應丟棄，勿食用 6.水塔應經常清洗及消毒，旅行或野營時，用水應煮沸消毒 7.確實撲滅並阻隔蒼蠅等病媒，垃圾應加蓋並定時清除 8.水泥砌磚水塔若已生苔，請儘可能更換成不銹鋼製品，以維護飲水衛生安全 9.如有嘔吐、腹瀉或發燒等病徵，應儘速就醫，並避免處理食物，以防傳播他人"
除了接種或投藥外的沙門氏菌感染症預防方法,"落實預防食品中毒五要原則：
 1.要洗手：調理食品前後都需澈底洗淨雙手，有傷口要先包紮
 2.要新鮮：食材要新鮮衛生，用水也必須乾淨無虞
 3.要生熟食分開：用不同器具處理生熟食，避免交互污染
 4.要澈底加熱：食品中心溫度超過70℃，細菌才容易被消滅
 5.要注意保存溫度：保存溫度低於7℃，才能抑制細菌生長，室溫下不宜久置"
接種沙門氏菌感染症疫苗需要額外付費嗎？,沙門氏菌感染症目前臺灣沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染沙門氏菌感染症了怎麼辦？,如有嘔吐、腹瀉或發燒等症狀，應儘速就醫，並避免處理食物，以防傳播他人
罹患沙門氏菌感染症要注意什麼？,水分及電解質的補充有助病人康復。上吐下瀉情況嚴重的病人應儘速就醫，不應自行購買藥物服用
罹患沙門氏菌感染症有需要隔離？,罹患細菌性腸胃炎須特別注意個人衛生，經常且正確地洗手，並避免接觸傳染，以防將病毒傳染給家人或朋友
罹患沙門氏菌感染症可以上班上課？,為避免病原散播，請暫時避免從事食品接觸、護理及托育等工作，在家休息至症狀解除至少48小時後，再恢復上學或工作
疑似罹患沙門氏菌感染症要去哪裡就醫？,請儘速至附近醫療院所就診
沙門氏菌感染症要怎麼治療？,一般針對沙門氏菌造成的腸炎不需要給予抗生素治療，因此，腸胃炎的治療以補充水分及電解質為主
什麼是肺吸蟲感染症？,衛氏肺吸蟲可以感染人類與動物，最後寄生於肺臟
肺吸蟲感染症會有什麼症狀？,好問題！大多數患者無症狀。有症狀者在急性期時，因幼蟲在人體內移動，引起患者發燒、腹痛、腹瀉、咳嗽、蕁麻疹、肝脾腫大及嗜伊紅性白血球過多等
罹患肺吸蟲感染症的嚴重性？,肺外感染最常見的是中樞神經系統的疾病，可誘發腦膜炎，可能引起癲癇、視力障礙、運動和感覺神經損傷等症狀，此蟲也曾在肝臟、淋巴結、脊椎及皮下組織等處被發現
肺吸蟲感染症傳染途徑為何？,"這個問題非常好！以下皆有可能感染肺吸蟲感染症：
 1.吃生的、塩漬、醃製或未煮熟的蟹類及淡水螯蝦
 2.準備食物時囊狀幼蟲污染手及器皿
 3.食入保幼宿主的肉類及內臟"
肺吸蟲感染症潛伏期和可傳染期,潛伏期約6 ~ 10週
肺吸蟲感染症流行地區有哪些,衛氏肺吸蟲主要分布遠東地區包括日本、韓國、中國大陸、東南亞及新幾內亞等，在太平洋（薩摩亞等地）、印度及非洲等也都有報告
如何預防肺吸蟲感染症,避免生食如蟹類及淡水螯蝦，最好煮熟後食用
除了接種或投藥外的肺吸蟲感染症預防方法,避免生食如蟹類及淡水螯蝦，最好煮熟後食用
我可以公費接種或投藥嗎？,醫師處方最常使用的藥物為Praziquantel，為健保用藥
接種肺吸蟲感染症疫苗需要額外付費嗎？,肺吸蟲感染症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染肺吸蟲感染症了怎麼辦？,請儘速至附近醫療院所就診。
疑似罹患肺吸蟲感染症要去哪裡就醫？,請儘速至附近醫療院所就診
了解肺吸蟲感染症用藥,醫師處方最常使用的藥物為Praziquantel，為健保用藥
肺吸蟲感染症用藥有哪些種類？,醫師處方最常使用的藥物為Praziquantel，為健保用藥
服用肺吸蟲感染症用藥有哪些副作用？,噁心、嘔吐、頭重感、眩暈等
